rep,group,segment,index,rmsf_nm
rep3,CA1,1,1066,0.0307
rep3,CA1,1,1067,0.1008
rep3,CA1,1,1068,0.0859
rep3,CA1,1,1069,0.1076
rep3,CA1,1,1070,0.0458
rep3,CA1,1,1071,0.0854
rep3,CA1,1,1072,0.033
rep3,CA1,1,1073,0.1032
rep3,CA1,1,1074,0.085
rep3,CA1,1,1075,0.1115
rep3,CA1,1,1076,0.0301
rep3,CA1,1,1077,0.1201
rep3,CA1,1,1078,0.1036
rep3,CA1,1,1079,0.1568
rep3,CA1,1,1080,0.1546
rep3,CA1,1,1081,0.1592
rep3,CA1,1,1082,0.16
rep3,CA1,1,1083,0.1196
