rep	metric	group	n_points	x_start	x_end	mean	sd	min	max	last
rep1	rmsd_protein	Protein	10001	0	100	0.0246403	0.00127884	0.0005009	0.0300519	0.0228919
rep1	rg_protein	Protein	10001	0	100	2.23475	0.00210945	2.22603	2.24387	2.23414
rep1	rmsd_ligand_pose	CA1	10001	0	100	0.406862	0.237081	0.0004725	1.00502	0.687431
rep1	rmsd_ligand_pose	LYS1	10001	0	100	2.60263	0.931039	0.0005563	7.99623	2.43783
rep1	rmsd_ligand_self	CA1	10001	0	100	0.111286	0.0520247	0.0004573	0.189857	0.127731
rep1	rmsd_ligand_self	LYS1	10001	0	100	0.136176	0.0209077	0.000481	0.217234	0.132567
rep1	hbond	CA1	10001	0	100	4.42066	1.17618	0	9	3
rep1	hbond	LYS1	10001	0	100	2.86901	1.36068	0	6	4
rep1	rmsf	Protein	81	1	27	0.0286407	0.00601405	0.0203	0.0555	0.0555
rep1	rmsf	CA1	18	1066	1083	0.0980556	0.044871	0.028	0.1758	0.0938
rep1	rmsf	LYS1	25	1084	1108	0.119552	0.0416346	0.0296	0.1876	0.1659
