aggregate_score,ptm,iptm,filename,avg_plddt,avg_pae,avg_pde
0.8142999410629272,0.8558905720710754,0.803902268409729,scores.model_idx_7.json,0.9276613507133263,5.820673699386021,0.9323187016733211
0.813622772693634,0.8552387356758118,0.8032187819480896,scores.model_idx_4.json,0.9283520607994153,5.814055526700731,0.957593045153341
0.812207818031311,0.854203462600708,0.8017089366912842,scores.model_idx_3.json,0.9275102202708905,5.813681312825685,0.9254706718892785
0.8117924928665161,0.8538941144943237,0.8012670874595642,scores.model_idx_10.json,0.9241554994995778,5.875347235240042,0.9409228992268178
0.8113676905632019,0.853507399559021,0.8008327484130859,scores.model_idx_6.json,0.9265236206925832,5.8367465626525545,0.9224677940764459
0.8110949993133545,0.8532952666282654,0.8005449175834656,scores.model_idx_15.json,0.9262905923219827,5.843506297485121,0.9576504228846032
0.8110948801040649,0.8533343076705933,0.8005350232124329,scores.model_idx_12.json,0.9260363171880062,5.830855786298903,0.9364579286448349
0.8109148144721985,0.852925717830658,0.8004120588302612,scores.model_idx_5.json,0.9259741077056298,5.831448633987016,0.9392504921133393
0.8103567957878113,0.8528327941894531,0.799737811088562,scores.model_idx_9.json,0.9285986520923101,5.831253691904313,0.9375558953081979
0.8099544644355774,0.8521274328231812,0.7994112372398376,scores.model_idx_8.json,0.9273872025884115,5.871701476527874,0.9512456206290724
0.8098857998847961,0.8521658182144165,0.7993157505989075,scores.model_idx_11.json,0.9275550085764664,5.824162651123424,0.9298345906351356
0.8095024824142456,0.8522582650184631,0.79881352186203,scores.model_idx_13.json,0.9272287121185889,5.844752282309263,0.9367462989885206
0.8094161152839661,0.8517182469367981,0.7988405823707581,scores.model_idx_21.json,0.9276926832703444,5.843999996053926,0.946611399478527
0.8091438412666321,0.8515781164169312,0.7985352277755737,scores.model_idx_27.json,0.9272800317177405,5.8617957751735075,0.9270582475986046
0.8089927434921265,0.8513970375061035,0.798391580581665,scores.model_idx_29.json,0.927825238269109,5.8472036404546195,0.9278269533574934
0.8089035153388977,0.851465106010437,0.7982630729675293,scores.model_idx_18.json,0.925966216967656,5.889351606346976,0.9701937284711859
0.8088005781173706,0.8517358899116516,0.7980667948722839,scores.model_idx_1.json,0.9260524408175395,5.845306645469884,0.9434353137256567
0.8087507486343384,0.8512744903564453,0.798119843006134,scores.model_idx_30.json,0.9273815487439816,5.873314060036578,0.9260927313255399
0.8080816268920898,0.8506597280502319,0.7974370121955872,scores.model_idx_17.json,0.9255339325620577,5.900542870560694,0.9920139322332906
0.8080741763114929,0.8507067561149597,0.7974160313606262,scores.model_idx_23.json,0.9257058042746323,5.8751378706353306,0.9598035634820454
0.8075176477432251,0.8503203392028809,0.7968169450759888,scores.model_idx_20.json,0.9190083553011601,6.015387854861239,0.9953172000417122
0.8073934316635132,0.8503016233444214,0.7966663837432861,scores.model_idx_26.json,0.9276191575022844,5.872374764395624,0.9310316656545333
0.8060072660446167,0.8493950366973877,0.7951602935791016,scores.model_idx_2.json,0.9297196160142238,5.797061067675212,0.930849823020619
0.8059083223342896,0.8491368293762207,0.7951012253761292,scores.model_idx_24.json,0.9267932159396318,5.888332713285141,0.9569996333096904
0.8053137063980103,0.8485976457595825,0.7944927215576172,scores.model_idx_16.json,0.9261901264007275,5.859102208489696,0.9531924829945057
0.8051225543022156,0.8487030863761902,0.7942274212837219,scores.model_idx_14.json,0.9265723188336079,5.855373463896517,0.95127924087529
0.8046061992645264,0.8478479981422424,0.7937957048416138,scores.model_idx_22.json,0.9262262244637196,5.8640726655170585,0.958766528713853
0.8045848608016968,0.8478399515151978,0.7937710285186768,scores.model_idx_25.json,0.9269668001395005,5.8417953102017295,0.941136855943426
0.8012848496437073,0.8453021049499512,0.7902805209159851,scores.model_idx_19.json,0.926907843695237,5.861976862648095,0.9636176803821599
0.7950313091278076,0.8406664729118347,0.7836225032806396,scores.model_idx_28.json,0.9258972801841222,5.882350608293166,0.926562781881034
